time,pwmL,pwmR,encL,encR
14.4875640869141,0,0,0,0
14.4986333847046,0,0,0,0
14.5096368789673,0,0,0,0
14.5201683044434,0,0,0,0
14.5311574935913,0,0,0,0
14.5417127609253,0,0,0,0
14.5521011352539,0,0,0,0
14.5626602172852,0,0,0,0
14.5736932754517,0,0,0,0
14.5847043991089,0,0,0,0
14.5953044891357,0,0,0,0
14.6057043075562,0,0,0,0
14.6162853240967,0,0,0,0
14.6273365020752,0,0,0,0
14.6383924484253,0,0,0,0
14.6490249633789,0,0,0,0
14.6600885391235,0,0,0,0
14.6711769104004,0,0,0,0
14.6819763183594,0,0,0,0
14.692892074585,0,0,0,0
14.7038812637329,0,0,0,0
14.714301109314,0,0,0,0
14.7252607345581,0,0,0,0
14.7362213134766,0,0,0,0
14.7468566894531,0,0,0,0
14.7578048706055,0,0,0,0
14.7687969207764,0,0,0,0
14.7793922424316,0,0,0,0
14.7898368835449,0,0,0,0
14.8003330230713,0,0,0,0
14.8113603591919,0,0,0,0
14.8223686218262,0,0,0,0
14.832932472229,0,0,0,0
14.8439321517944,0,0,0,0
14.8549928665161,0,0,0,0
14.8654928207397,0,0,0,0
14.8759813308716,0,0,0,0
14.8865604400635,0,0,0,0
14.897047996521,0,0,0,0
14.9076881408691,0,0,0,0
14.918137550354,0,0,0,0
14.9288482666016,0,0,0,0
14.939868927002,0,0,0,0
14.9509363174438,0,0,0,0
14.9614725112915,0,0,0,0
14.9724206924438,100,100,1,0
14.9833602905273,100,100,4,5
14.9943084716797,100,100,6,12
15.0051774978638,100,100,9,18
15.0160846710205,100,100,13,25
15.0270404815674,100,100,18,32
15.0379323959351,100,100,24,39
15.0487966537476,100,100,31,47
15.0597009658813,100,100,38,54
15.0708084106445,100,100,46,63
15.0818042755127,100,100,54,71
15.0927886962891,100,100,62,79
15.1037569046021,100,100,70,87
15.1147403717041,100,100,78,95
15.1257047653198,100,100,86,103
15.136736869812,100,100,93,111
15.1477165222168,100,100,101,118
15.1587085723877,100,100,108,127
15.1698446273804,100,100,117,135
15.1807804107666,100,100,125,143
15.1901569366455,100,100,131,150
15.2011690139771,100,100,139,157
15.2129249572754,100,100,147,165
15.2238883972168,100,100,155,172
15.2348327636719,100,100,162,180
15.2457733154297,100,100,169,187
15.2567081451416,100,100,177,195
15.2678050994873,100,100,184,203
15.2788124084473,100,100,192,211
15.2904767990112,100,100,200,219
15.3014326095581,100,100,208,227
15.3123922348022,100,100,216,235
15.3233690261841,100,100,224,242
15.3343601226807,100,100,231,250
15.3453559875488,100,100,238,258
15.3563327789307,100,100,245,265
15.3674163818359,100,100,252,273
15.3783645629883,100,100,259,281
15.3893013000488,100,100,267,289
15.4002285003662,100,100,274,296
15.4111490249634,100,100,281,304
15.4220848083496,100,100,288,312
15.4330444335938,100,100,296,319
15.4440212249756,100,100,303,327
15.4550161361694,0,0,310,334
15.4656009674072,0,0,314,338
15.476053237915,0,0,316,339
15.486668586731,0,0,316,340
15.4977045059204,0,0,316,340
15.5087442398071,0,0,316,340
15.5192613601685,0,0,316,340
15.5302724838257,0,0,316,340
15.54128074646,0,0,316,340
15.5519723892212,0,0,316,340
15.5624561309814,0,0,316,340
15.5730571746826,0,0,316,340
15.5840167999268,0,0,316,339
15.5951519012451,0,0,316,339
15.6056604385376,0,0,316,339
15.6161527633667,0,0,316,339
15.6267566680908,0,0,316,339
15.6371688842773,0,0,316,339
15.6476678848267,0,0,316,339
15.6581773757935,0,0,316,339
15.6687135696411,0,0,316,339
15.6791372299194,0,0,316,339
15.6897611618042,0,0,316,339
15.7007732391357,0,0,316,339
15.7113523483276,0,0,316,339
15.7223768234253,0,0,316,339
15.7334203720093,0,0,316,339
15.7440481185913,0,0,316,339
15.7545928955078,0,0,316,339
15.7652444839478,0,0,316,339
15.7762813568115,0,0,316,339
15.7873363494873,0,0,316,339
15.7980012893677,0,0,316,339
15.8089809417725,0,0,316,339
15.8190011978149,0,0,316,339
15.8314647674561,0,0,316,339
15.842041015625,0,0,316,339
15.8524932861328,0,0,316,339
15.863600730896,0,0,316,339
15.8740530014038,0,0,316,339
15.885085105896,0,0,316,339
15.8961324691772,0,0,316,339
15.9067411422729,0,0,316,339
15.9177131652832,0,0,316,339
15.9282360076904,0,0,316,339
15.9400968551636,100,100,316,339
15.9510688781738,100,100,313,337
15.9620771408081,100,100,307,331
15.9730367660522,100,100,302,326
15.9840211868286,100,100,297,321
15.9949245452881,100,100,292,316
16.0057163238525,100,100,287,310
16.0166053771973,100,100,280,303
16.0275325775146,100,100,271,294
16.0384159088135,100,100,263,286
16.0494060516357,100,100,255,278
16.0603141784668,100,100,248,269
16.0712451934814,100,100,240,261
16.0822124481201,100,100,231,252
16.0931358337402,100,100,222,243
16.1040840148926,100,100,212,233
16.1140003204346,100,100,203,224
16.1259441375732,100,100,194,215
16.1368808746338,100,100,184,205
16.1479206085205,100,100,175,196
16.1588802337646,100,100,165,186
16.1698131561279,100,100,156,176
16.1807441711426,100,100,147,167
16.19167137146,100,100,137,157
16.2026100158691,100,100,128,148
16.2134819030762,100,100,118,139
16.2243366241455,100,100,108,130
16.2352638244629,100,100,98,120
16.24631690979,100,100,89,112
16.2572364807129,100,100,80,103
16.2681903839111,100,100,71,93
16.2791175842285,100,100,62,84
16.2900447845459,100,100,53,75
16.3000011444092,100,100,44,66
16.311897277832,100,100,36,58
16.3228168487549,100,100,27,49
16.3336963653564,100,100,18,41
16.3447113037109,100,100,8,32
16.3556175231934,100,100,0,24
16.3665409088135,100,100,-9,15
16.3774318695068,100,100,-18,6
16.3883285522461,100,100,-26,-2
16.3992767333984,100,100,-35,-11
16.4102592468262,100,100,-44,-19
16.4212532043457,100,100,-52,-27
16.431001663208,0,0,-59,-35
16.4430046081543,0,0,-62,-39
16.4535007476807,0,0,-64,-40
16.4645576477051,0,0,-64,-42
16.4753932952881,0,0,-64,-42
16.486011505127,0,0,-65,-42
16.4969959259033,0,0,-65,-42
16.5079917907715,0,0,-65,-42
16.5184421539307,0,0,-65,-42
16.5289001464844,0,0,-65,-42
16.5393657684326,0,0,-65,-42
16.5503368377686,0,0,-65,-41
16.5613441467285,0,0,-65,-41
16.5719699859619,0,0,-65,-41
16.5829124450684,0,0,-65,-41
16.593864440918,0,0,-65,-41
16.6043071746826,0,0,-65,-41
16.6152095794678,0,0,-65,-41
16.6262245178223,0,0,-65,-41
16.6369380950928,0,0,-65,-41
16.6473083496094,0,0,-65,-41
16.6579532623291,0,0,-65,-41
16.668924331665,0,0,-65,-41
16.6798763275146,0,0,-65,-41
16.6903285980225,0,0,-65,-41
16.7012042999268,0,0,-65,-41
16.7122230529785,0,0,-65,-41
16.7227592468262,0,0,-65,-41
16.7332534790039,0,0,-65,-41
16.7438278198242,0,0,-65,-41
16.7548141479492,0,0,-65,-41
16.7644996643066,0,0,-65,-41
16.7753982543945,0,0,-65,-41
16.7863330841064,0,0,-65,-41
16.7969017028809,0,0,-65,-41
16.8078536987305,0,0,-65,-41
16.8187484741211,0,0,-65,-41
16.8304805755615,0,0,-65,-41
16.8410701751709,0,0,-65,-41
16.8520202636719,0,0,-65,-41
16.8630256652832,0,0,-65,-41
16.8744678497314,0,0,-65,-41
16.8850078582764,0,0,-65,-41
16.895959854126,0,0,-65,-41
16.9068279266357,0,0,-65,-41
16.918270111084,200,200,-65,-41
16.929292678833,200,200,-57,-34
16.9403533935547,200,200,-47,-23
16.9514560699463,200,200,-36,-10
16.9625511169434,200,200,-24,4
16.9736824035645,200,200,-10,19
16.9847927093506,200,200,4,35
16.9959163665771,200,200,18,52
17.0069561004639,200,200,32,68
17.0180740356445,200,200,48,85
17.0292091369629,200,200,65,104
17.0403652191162,200,200,85,124
17.0515842437744,200,200,106,144
17.0628204345703,200,200,127,165
17.0739288330078,200,200,146,184
17.0850086212158,200,200,165,204
17.0960445404053,200,200,184,223
17.1071491241455,200,200,204,243
17.1183757781982,200,200,224,264
17.1296062469482,200,200,244,284
17.1400260925293,200,200,263,303
17.1511497497559,200,200,282,323
17.1622772216797,200,200,302,343
17.1734848022461,200,200,322,364
17.1846046447754,200,200,343,384
17.1958332061768,200,200,363,404
17.2069530487061,200,200,383,424
17.2181129455566,200,200,402,444
17.2292633056641,200,200,422,464
17.240442276001,200,200,442,485
17.2516689300537,200,200,461,505
17.2628498077393,200,200,481,526
